pi,name,uuid,year,status,
"D. Nayak, R.B. Pachori, G. Banda, S.D. Choudhari, and S. Neema",A remote pregnancy detection and monitoring device for mammal with multiple foetuses,2.02121E+11,Oct. 2022,Granted,
"R.B. Pachori, M.S. Manikandan, and J. Varghese V","Apparatus, systems and methods for quality-aware energy-efficient PPG signal analysis and cardiovascular disease diagnosis and prediction",2.02221E+11,Dec. 2022,Filed,
"R.B. Pachori, M.S. Manikandan, and N. Phukan",Systems and methods for contextual information aware physiological parameter analysis and intelligent human disease prediction,2.02221E+11,Dec. 2022,Filed,
"R.B. Pachori, M.S. Manikandan, and J. Varghese V",Systems and methods for qualityaware energy-efficient respiration rate estimation from photoplethysmography (PPG) signal,2.02221E+11,Dec. 2022,Filed,
"R.B. Pachori, M.S. Manikandan, and F.A. Razak",�Apparatus and methods for noise-aware and energy-efficient pulse rate variability and heart rate variability analysis,2.02221E+11,Dec. 2022,Filed,
"R.B. Pachori, M.S. Manikandan, and A. Mondal",Apparatus and methods for noise-aware energy-efficient ECG signal analysis and cardiovascular disease diagnosis and prediction,2.02221E+11,Dec. 2022,Filed,
R.B. Pachori and K. DasSystem and method for predicting Parkinsons disease,System and method for predicting Parkinsons disease,2.02221E+11,"May, 2022",Filed,
Nandakishor Yadav and Santosh Kumar Vishvakarma,�Read Recharge (RRC) based Process Variation Tolerant 10T SRAM Cell,413266,Dec. 2022,Granted,
"C. B. Kushwah, Santosh Kumar Vishvakarma",P-N tuned differential 8T static random access memory (SRAM) cel,406860,Sep. 2022,Granted,
Bhupendra Singh Reniwal and Santosh Kumar Vishvakarma,Offset Compensated Data Sensing Technique for Low Energy Embedded SRAM,394437,Apr. 2022,Granted,
Vikas Vijayvargiya and Santosh Kumar Vishvakarma,"High-Performance Double Gate Tunnel Field Effect Transistor For Low Power Applications,",388463,Feb. 2022,Granted,
"Shaibal Mukherjee, Chandrabhan Patel, Vikash Kumar, Sumit Chaudhary, Ranjan Kumar",A wide range variable resistance readout circuit,2.02221E+11,Nov. 2022,Filed,
"Shaibal Mukherjee, Sanjay Kumar, Mangal Das, Kumari Jyoti",Silicon compatible yttria based memristive crossbar array and a method of fabrication thereof,2.02121E+11,2022,Filed,
"Apurba K Das, Shaibal Mukherjee, Rohit G. Jadhav, Amitesh Kumar","? - conjugated compound for resistive switching, device, and method of fabrication",2.01921E+11,2022,Filed,
"Vimal Bhatia, Mr. Puneet Singh Thakur, Amit Chatterjee, and Shashi Prakash",A device for assessment of seed pre-treatments,389627,2022,Granted,
"M. Nemalidinne, P. Reddy M, A. Kumar, and P. K. Upadhyay",A Method for Adaptive Multi-User Clustering in Non-Orthogonal Multiple Access Systems with Imperfect Successive Interference Cancellation,2.02241E+11,Sep. 2022,Filed,
"B. Fatimah, P. Singh, A. Singhal, and R.B. Pachori",�System and method for biometric identification using ECG signals,2021106695,Dec. 2021,Granted,
Pooran Singh and Santosh Kumar Vishvakarma,Low Leakage-High Stability Differential Positive Feedback Controlled 10T (DPFC10T) SRAM Cell,370308,Jun. 2021,Granted,
Vishal Sharma and Santosh Kumar Vishvakarma,"An Ultra Low Power, Read Decoupled Differential Write 10T SRAM Cell with Higher Read/Write Noise Margin",358866,Feb. 2021,Granted,
"Ravi Kumar, Rajasekhar Nagulapalli, S K Vishvakarma",Constant transconductance bias Device,2.02221E+11,2021,Filed,
